Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.00,0.00,0.004,0.247,0.022,0.513,0.082,0.094,0.019,0.018,898
Client   1,0.001,0.619,0.031,0.267,0.015,0.00,0.005,0.00,0.001,0.062,1073
Client   2,0.010,0.089,0.003,0.027,0.871,0.00,0.00,0.00,0.00,0.00,1595
Client   3,1.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1369
Client   4,0.028,0.060,0.060,0.007,0.000,0.059,0.005,0.082,0.698,0.00,2948
Client   5,0.184,0.320,0.358,0.009,0.006,0.005,0.014,0.083,0.002,0.020,1111
Client   6,0.001,0.015,0.003,0.003,0.020,0.347,0.096,0.514,0.00,0.00,2399
Client   7,0.238,0.273,0.051,0.002,0.00,0.436,0.00,0.00,0.00,0.00,1584
Client   8,0.001,0.006,0.001,0.136,0.537,0.033,0.003,0.00,0.009,0.274,890
Client   9,0.00,0.00,0.035,0.00,0.167,0.002,0.015,0.008,0.504,0.270,1183
Client  10,0.00,0.092,0.00,0.002,0.011,0.083,0.584,0.072,0.133,0.024,459
Client  11,0.008,0.002,0.153,0.094,0.192,0.013,0.189,0.069,0.280,0.00,1065
Client  12,0.002,0.00,0.056,0.00,0.941,0.00,0.00,0.00,0.00,0.00,1649
Client  13,0.185,0.237,0.107,0.001,0.001,0.001,0.021,0.447,0.00,0.00,1369
Client  14,0.205,0.080,0.116,0.024,0.014,0.040,0.031,0.00,0.491,0.00,2041
Client  15,0.00,0.031,0.050,0.00,0.015,0.501,0.005,0.398,0.00,0.00,1322
Client  16,0.001,0.074,0.00,0.296,0.231,0.002,0.00,0.277,0.008,0.111,949
Client  17,0.016,0.148,0.836,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2108
Client  18,0.010,0.265,0.046,0.040,0.004,0.210,0.019,0.283,0.121,0.003,778
Client  19,0.108,0.178,0.00,0.024,0.001,0.001,0.688,0.00,0.00,0.00,1655
Client  20,0.010,0.113,0.333,0.018,0.009,0.178,0.002,0.00,0.298,0.038,1143
Client  21,0.021,0.001,0.044,0.906,0.028,0.00,0.00,0.00,0.00,0.00,1215
Client  22,0.029,0.008,0.009,0.146,0.004,0.001,0.105,0.001,0.004,0.694,1731
Client  23,0.00,0.168,0.264,0.093,0.141,0.061,0.004,0.00,0.002,0.267,1129
Client  24,0.021,0.00,0.230,0.008,0.016,0.00,0.00,0.075,0.101,0.550,387
Client  25,0.008,0.257,0.113,0.00,0.030,0.001,0.577,0.001,0.013,0.00,1008
Client  26,0.00,0.079,0.010,0.002,0.088,0.008,0.033,0.779,0.00,0.00,1437
Client  27,0.329,0.00,0.018,0.005,0.00,0.00,0.154,0.267,0.045,0.181,596
Client  28,0.281,0.00,0.220,0.001,0.267,0.00,0.061,0.045,0.125,0.00,1275
Client  29,0.176,0.032,0.170,0.013,0.006,0.00,0.029,0.00,0.504,0.070,683
Client  30,0.009,0.151,0.144,0.097,0.080,0.062,0.00,0.099,0.358,0.00,959
Client  31,0.020,0.012,0.016,0.006,0.214,0.517,0.007,0.207,0.00,0.00,1474
Client  32,0.485,0.00,0.076,0.002,0.036,0.159,0.203,0.040,0.00,0.00,1229
Client  33,0.001,0.117,0.027,0.856,0.00,0.00,0.00,0.00,0.00,0.00,1725
Client  34,0.005,0.060,0.368,0.008,0.019,0.005,0.535,0.00,0.00,0.00,1539
Client  35,0.501,0.00,0.023,0.029,0.110,0.029,0.110,0.006,0.009,0.184,347
Client  36,0.385,0.051,0.008,0.173,0.010,0.007,0.033,0.047,0.016,0.271,706
Client  37,0.180,0.367,0.00,0.453,0.00,0.00,0.00,0.00,0.00,0.00,1297
Client  38,0.058,0.001,0.001,0.001,0.031,0.030,0.005,0.124,0.066,0.682,1373
Client  39,0.022,0.073,0.00,0.130,0.026,0.00,0.028,0.006,0.001,0.715,1734
Client  40,0.850,0.00,0.025,0.00,0.036,0.020,0.005,0.00,0.002,0.061,440
Client  41,0.00,0.003,0.00,0.045,0.004,0.864,0.009,0.075,0.00,0.00,1212
Client  42,0.059,0.186,0.029,0.011,0.00,0.005,0.045,0.323,0.219,0.123,749
Client  43,0.005,0.239,0.001,0.003,0.025,0.010,0.218,0.031,0.218,0.248,958
Client  44,0.141,0.042,0.258,0.00,0.049,0.051,0.023,0.267,0.005,0.164,554
Client  45,0.00,0.004,0.00,0.264,0.248,0.090,0.172,0.002,0.136,0.085,565
Client  46,0.157,0.00,0.00,0.443,0.00,0.023,0.187,0.00,0.00,0.190,300
Client  47,0.166,0.001,0.00,0.133,0.082,0.116,0.503,0.00,0.00,0.00,1454
Client  48,0.012,0.189,0.002,0.158,0.117,0.082,0.265,0.002,0.001,0.174,1285
Client  49,0.014,0.253,0.301,0.002,0.009,0.048,0.206,0.065,0.015,0.088,1051
