Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.00,0.167,0.00,0.167,0.167,0.00,0.167,0.167,0.167,0.00,6
Client   1,0.087,0.105,0.109,0.097,0.083,0.122,0.112,0.087,0.092,0.107,589
Client   2,0.100,0.113,0.101,0.099,0.100,0.092,0.096,0.104,0.097,0.100,11450
Client   3,0.00,0.083,0.167,0.083,0.00,0.00,0.250,0.250,0.00,0.167,12
Client   4,0.081,0.107,0.108,0.106,0.093,0.092,0.098,0.108,0.104,0.102,1688
Client   5,0.113,0.113,0.082,0.106,0.103,0.085,0.099,0.082,0.106,0.110,282
Client   6,0.128,0.118,0.044,0.103,0.113,0.054,0.113,0.113,0.089,0.123,203
Client   7,0.117,0.117,0.113,0.117,0.078,0.074,0.109,0.091,0.083,0.100,230
Client   8,0.222,0.111,0.056,0.167,0.056,0.00,0.056,0.111,0.111,0.111,18
Client   9,0.084,0.128,0.114,0.086,0.111,0.077,0.111,0.109,0.086,0.095,431
Client  10,0.00,0.00,0.00,0.333,0.222,0.00,0.111,0.222,0.00,0.111,9
Client  11,0.083,0.140,0.108,0.108,0.096,0.064,0.127,0.096,0.102,0.076,157
Client  12,0.250,0.062,0.062,0.188,0.125,0.062,0.062,0.125,0.062,0.00,16
Client  13,0.102,0.104,0.096,0.117,0.100,0.078,0.109,0.099,0.099,0.096,1388
Client  14,0.250,0.00,0.00,0.00,0.250,0.250,0.00,0.00,0.250,0.00,4
Client  15,0.00,0.00,0.333,0.00,0.111,0.222,0.111,0.00,0.00,0.222,9
Client  16,0.102,0.100,0.120,0.110,0.102,0.077,0.095,0.098,0.092,0.103,881
Client  17,0.099,0.120,0.096,0.112,0.089,0.089,0.094,0.123,0.092,0.086,836
Client  18,0.100,0.117,0.090,0.105,0.101,0.090,0.097,0.104,0.097,0.099,5373
Client  19,0.098,0.108,0.095,0.106,0.105,0.087,0.099,0.103,0.098,0.101,8540
Client  20,0.094,0.114,0.105,0.104,0.092,0.090,0.102,0.109,0.090,0.100,2481
Client  21,0.107,0.093,0.069,0.086,0.086,0.100,0.166,0.107,0.117,0.069,290
Client  22,0.091,0.113,0.097,0.113,0.106,0.122,0.069,0.091,0.103,0.097,320
Client  23,0.075,0.094,0.113,0.104,0.085,0.066,0.132,0.075,0.151,0.104,106
Client  24,0.108,0.117,0.096,0.101,0.094,0.090,0.093,0.108,0.097,0.096,4966
Client  25,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.00,2
Client  26,0.112,0.120,0.112,0.090,0.095,0.095,0.094,0.109,0.090,0.083,1620
Client  27,0.085,0.125,0.097,0.104,0.082,0.089,0.099,0.110,0.104,0.105,1035
Client  28,0.099,0.101,0.102,0.101,0.099,0.098,0.096,0.105,0.096,0.103,1682
Client  29,0.250,0.00,0.00,0.250,0.00,0.250,0.00,0.00,0.250,0.00,4
Client  30,0.097,0.112,0.103,0.097,0.091,0.095,0.102,0.098,0.099,0.107,3653
Client  31,0.00,0.00,0.00,0.00,0.00,0.00,1.000,0.00,0.00,0.00,1
Client  32,0.082,0.115,0.098,0.115,0.074,0.074,0.131,0.090,0.123,0.098,122
Client  33,0.096,0.101,0.105,0.095,0.103,0.087,0.104,0.103,0.100,0.106,1096
Client  34,0.095,0.120,0.103,0.100,0.086,0.099,0.102,0.092,0.104,0.099,1187
Client  35,0.101,0.107,0.112,0.111,0.104,0.083,0.086,0.095,0.096,0.105,1531
Client  36,0.090,0.107,0.128,0.072,0.093,0.119,0.104,0.110,0.087,0.090,345
Client  37,0.077,0.106,0.111,0.116,0.087,0.130,0.126,0.087,0.092,0.068,207
Client  38,0.113,0.169,0.085,0.085,0.056,0.056,0.113,0.155,0.099,0.070,71
Client  39,0.100,0.117,0.096,0.090,0.088,0.081,0.106,0.125,0.108,0.088,1017
Client  40,0.085,0.110,0.090,0.107,0.115,0.083,0.120,0.071,0.120,0.100,410
Client  41,0.051,0.093,0.068,0.093,0.102,0.153,0.093,0.186,0.076,0.085,118
Client  42,0.086,0.124,0.096,0.110,0.093,0.090,0.088,0.119,0.089,0.105,1597
Client  43,0.151,0.114,0.107,0.077,0.087,0.097,0.080,0.084,0.104,0.100,299
Client  44,0.097,0.117,0.100,0.100,0.105,0.095,0.105,0.100,0.088,0.094,1124
Client  45,0.103,0.108,0.098,0.110,0.089,0.088,0.093,0.112,0.107,0.093,1761
Client  46,0.00,0.278,0.111,0.00,0.056,0.111,0.111,0.167,0.111,0.056,18
Client  47,0.091,0.091,0.182,0.00,0.00,0.091,0.182,0.091,0.091,0.182,11
Client  48,0.108,0.081,0.081,0.081,0.054,0.081,0.054,0.162,0.189,0.108,37
Client  49,0.104,0.108,0.093,0.093,0.097,0.090,0.121,0.099,0.094,0.100,741
