Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.164,0.078,0.00,0.011,0.746,0.00,0.00,0.00,0.00,0.00,548
Client   1,0.143,0.078,0.010,0.00,0.049,0.058,0.227,0.003,0.00,0.432,308
Client   2,0.005,0.371,0.00,0.156,0.105,0.00,0.066,0.297,0.00,0.00,590
Client   3,0.267,0.113,0.113,0.186,0.062,0.097,0.120,0.037,0.007,0.00,435
Client   4,0.009,0.079,0.00,0.191,0.149,0.112,0.070,0.367,0.019,0.005,215
Client   5,0.023,0.041,0.006,0.00,0.005,0.077,0.090,0.018,0.004,0.737,1012
Client   6,0.011,0.00,0.007,0.646,0.336,0.00,0.00,0.00,0.00,0.00,542
Client   7,0.349,0.028,0.009,0.147,0.00,0.275,0.009,0.092,0.00,0.092,109
Client   8,0.00,0.295,0.018,0.122,0.007,0.087,0.273,0.022,0.175,0.00,400
Client   9,0.020,0.016,0.037,0.233,0.004,0.224,0.445,0.00,0.00,0.020,245
Client  10,0.012,0.007,0.404,0.019,0.278,0.005,0.00,0.00,0.012,0.263,418
Client  11,0.009,0.005,0.007,0.760,0.007,0.212,0.00,0.00,0.00,0.00,575
Client  12,0.039,0.021,0.00,0.150,0.002,0.127,0.138,0.501,0.023,0.00,487
Client  13,0.001,0.089,0.184,0.018,0.058,0.033,0.028,0.001,0.586,0.00,718
Client  14,0.010,0.038,0.043,0.00,0.466,0.014,0.005,0.365,0.005,0.053,208
Client  15,0.021,0.014,0.002,0.002,0.040,0.019,0.028,0.023,0.700,0.150,427
Client  16,0.789,0.00,0.080,0.002,0.020,0.004,0.105,0.00,0.00,0.00,503
Client  17,0.002,0.004,0.019,0.417,0.00,0.054,0.306,0.198,0.00,0.00,520
Client  18,0.043,0.138,0.031,0.588,0.014,0.00,0.146,0.012,0.010,0.016,486
Client  19,0.004,0.263,0.002,0.00,0.057,0.674,0.00,0.00,0.00,0.00,509
Client  20,0.142,0.090,0.00,0.00,0.00,0.446,0.052,0.082,0.056,0.133,233
Client  21,0.009,0.413,0.045,0.532,0.00,0.00,0.00,0.00,0.00,0.00,530
Client  22,0.021,0.154,0.002,0.159,0.569,0.002,0.013,0.061,0.002,0.017,473
Client  23,0.116,0.004,0.014,0.287,0.006,0.574,0.00,0.00,0.00,0.00,516
Client  24,0.00,0.112,0.039,0.117,0.028,0.101,0.464,0.112,0.00,0.028,179
Client  25,0.00,0.102,0.018,0.403,0.035,0.064,0.00,0.162,0.210,0.007,452
Client  26,0.342,0.012,0.024,0.125,0.152,0.039,0.089,0.098,0.003,0.116,336
Client  27,0.069,0.058,0.015,0.052,0.007,0.143,0.071,0.586,0.00,0.00,886
Client  28,0.924,0.002,0.074,0.00,0.00,0.00,0.00,0.00,0.00,0.00,503
Client  29,0.130,0.100,0.00,0.00,0.005,0.339,0.016,0.377,0.030,0.003,369
Client  30,0.202,0.569,0.00,0.00,0.00,0.115,0.010,0.072,0.002,0.030,401
Client  31,0.017,0.315,0.560,0.030,0.004,0.004,0.00,0.071,0.00,0.00,534
Client  32,0.00,0.149,0.00,0.103,0.004,0.061,0.006,0.676,0.00,0.00,797
Client  33,0.001,0.039,0.030,0.140,0.791,0.00,0.00,0.00,0.00,0.00,831
Client  34,0.143,0.212,0.00,0.004,0.031,0.039,0.104,0.008,0.398,0.062,259
Client  35,0.597,0.002,0.401,0.00,0.00,0.00,0.00,0.00,0.00,0.00,506
Client  36,0.055,0.006,0.117,0.540,0.00,0.028,0.00,0.164,0.002,0.087,470
Client  37,0.035,0.003,0.279,0.00,0.113,0.001,0.225,0.00,0.343,0.00,706
Client  38,0.010,0.004,0.014,0.166,0.00,0.806,0.00,0.00,0.00,0.00,500
Client  39,0.434,0.123,0.008,0.117,0.020,0.00,0.00,0.298,0.00,0.00,641
Client  40,0.209,0.523,0.010,0.053,0.017,0.00,0.185,0.00,0.003,0.00,302
Client  41,0.211,0.143,0.00,0.003,0.003,0.00,0.439,0.177,0.003,0.020,294
Client  42,0.002,0.00,0.002,0.047,0.039,0.059,0.850,0.00,0.00,0.00,508
Client  43,0.085,0.003,0.061,0.014,0.130,0.334,0.003,0.352,0.007,0.010,293
Client  44,0.049,0.015,0.018,0.017,0.902,0.00,0.00,0.00,0.00,0.00,1008
Client  45,0.013,0.00,0.005,0.032,0.00,0.001,0.093,0.002,0.167,0.687,918
Client  46,0.00,0.038,0.036,0.008,0.056,0.036,0.098,0.090,0.320,0.317,715
Client  47,0.331,0.031,0.017,0.621,0.00,0.00,0.00,0.00,0.00,0.00,544
Client  48,0.023,0.078,0.016,0.00,0.00,0.00,0.078,0.00,0.047,0.758,128
Client  49,0.256,0.001,0.001,0.007,0.005,0.00,0.195,0.00,0.535,0.00,871
Client  50,0.356,0.133,0.089,0.00,0.00,0.178,0.022,0.022,0.200,0.00,45
Client  51,0.056,0.028,0.028,0.028,0.017,0.039,0.394,0.006,0.239,0.167,180
